repo_name,pr_base_sha,done
xarray-contrib/xbatcher,13c69fe3112f3b32b24310bd17b3edbcecfc43e0,False
pyapp-kit/psygnal,e9ee49698b53aa441e069e0c14b56bc42fbad08d,False
geopandas/geopandas,321dc873526949d5ab22ca6f7b4c06ef3d7d0f0a,False
geopandas/geopandas,b21b6ba8919761c067813d4ffdb16955085f3910,False
scikit-image/scikit-image,af8005c3c41148415cb11a4368ac517d3cb6e35c,False
UXARRAY/uxarray,e88b1da5257c0ae4d74b3fd5cbb16bb58215ab27,False
Qiskit/qiskit,a335504abd52f4f08183fb276c187951bc40385e,False
Qiskit/qiskit,5e39fc10bacdf98045086d454e97ff3c91cc3c39,False
Qiskit/qiskit,8ab91faea929a69995ff127f7eed969121b7cea1,False
Qiskit/qiskit,e5ec41358896f2655239a4256d909a133925938c,False
Qiskit/qiskit,0bc6662d6ce7d5c89fdd293af651ce4706486c21,False
Qiskit/qiskit,59630272672e4593e2bd5570680e47961d398923,False
Qiskit/qiskit,2d3db9a6e66fd70a5406ab94d49fb3b0b29f9225,False
Qiskit/qiskit,154601ba77b1d21d1f456754e72888d4d684cf7c,False
Qiskit/qiskit,864a2a3c68d6901ac0209b0a5fd02344430c79d3,False
Qiskit/qiskit,38ad0d106a6f10bf2bd09f9643c0fbb78f3f8446,False
Qiskit/qiskit,53667d167e2de2f841d3b781877427f0b459289b,False
Qiskit/qiskit,cc2edc9f7172d75ec454fdaf5748326cd3720f90,False
Qiskit/qiskit,6f482400e56345fe260d2144bf86acfd563855bc,False
kedro-org/kedro,70734ce00ee46b58c85b4cf04afbe89d32c06758,False
pandas-dev/pandas,3c14b71c8f965ff316b22dfb3d87839361f55297,False
pandas-dev/pandas,ad98c2b771326502900e007a830ff69cb2e6c6e1,False
pandas-dev/pandas,1c71d7db926f4247798a7182f85aba1124fa894f,False
pandas-dev/pandas,7e88122a2a829bc982b6471948c21cd1096ed980,False
pandas-dev/pandas,9918c84043a340cc0a62625273c842c05f3d71b1,False
pandas-dev/pandas,9eee1073c2d0602569ca445b7509dedf906f4af5,False
pandas-dev/pandas,1a9c8a4820f2028e868fbcb5018140ca29468e4d,False
pandas-dev/pandas,70eef55e438823697515e834ee4ac350bdb0aaa7,False
pandas-dev/pandas,b2d9ec17c52084ee2b629633c9119c01ea11d387,False
pandas-dev/pandas,5fad2e4e90be46c14e947ac1a7eba3275c4b656d,False
pandas-dev/pandas,9918c84043a340cc0a62625273c842c05f3d71b1,False
pandas-dev/pandas,80527f4865d68a147d82fc7953f809e446ac9510,False
pandas-dev/pandas,fe60f43cd38944a46388acd21458e619c48cf85f,False
pandas-dev/pandas,10b60441d1760ddad562206716a9ed4fb24c66a6,False
pandas-dev/pandas,43c7d4023009ceee4ca11f2148a8debd372e437a,False
pandas-dev/pandas,9918c84043a340cc0a62625273c842c05f3d71b1,False
pandas-dev/pandas,fa78ea801392f4f0d37ea7ddbbfe44e9c8c102bd,False
pandas-dev/pandas,3ece807d6d85663cb0f9811ccabb8426f506bb5d,False
pandas-dev/pandas,031e9bbc3a9db4ab78be8b477b15d7173a1f625e,False
pandas-dev/pandas,43c7d4023009ceee4ca11f2148a8debd372e437a,False
pandas-dev/pandas,1ce4455424898eb08719295205faacb2f0d9a4b1,False
pandas-dev/pandas,b00148b6c3a73a9d83cdf60a2e18befeaadf68bd,True
pandas-dev/pandas,18c43651b0497b5e93fd02e4f0bf6d254a25c316,False
pandas-dev/pandas,92a52e231534de236c4e878008a4365b4b1da291,False
pandas-dev/pandas,7bdf69f45f6ee6fae3d137ea2ab5651082c83c25,False
pandas-dev/pandas,22491dc041315d40e525b722a92202f656639957,False
pandas-dev/pandas,fcb8b809e91e7df47f3c20c457e9f6cb58c2f067,False
pandas-dev/pandas,18bc585ae6eb6918911243b9486bb2c1a9dec570,False
pandas-dev/pandas,b00148b6c3a73a9d83cdf60a2e18befeaadf68bd,False
pandas-dev/pandas,428c2a6c6159889b7ce213468351989fd702ed5f,False
pandas-dev/pandas,c8646541e9a2e27cc14e550c722364ded1dcba5f,False
pandas-dev/pandas,a1b6fcb31b71ca6cd01d2239ebbfbb848da54423,False
